,Date           Time      At     Opponent                                      Location                            Tournament   Result
Apr 9 (Sat)    1 PM      Home   Pitt Blue-Gold Spring Game presented by PNC   Pittsburgh, PA (Heinz Field)                            
Sep 1 (Thu)    7 PM      Home   West Virginia                                 Pittsburgh, PA (Acrisure Stadium)                W 38-31
Sep 10 (Sat)   3:30 PM   Home   Tennessee                                     Pittsburgh, PA (Acrisure Stadium)                L 27-34
Sep 17 (Sat)   7:30 PM   Away   Western Michigan                              Kalamazoo, MI                                    W 34-13
Sep 24 (Sat)   NOON      Home   Rhode Island                                  Pittsburgh, PA (Acrisure Stadium)                W 45-24
Oct 1 (Sat)    8 PM      Home   Georgia Tech                                  Pittsburgh, PA (Acrisure Stadium)                L 21-26
Oct 8 (Sat)    3:30 PM   Home   Virginia Tech                                 Pittsburgh, PA (Acrisure Stadium)                W 45-29
Oct 22 (Sat)   TBA       Away   Louisville                                    Louisville, KY                                          
Oct 29 (Sat)   TBA       Away   North Carolina                                Chapel Hill, NC                                         
Nov 5 (Sat)    TBA       Home   Syracuse                                      Pittsburgh, PA (Acrisure Stadium)                       
Nov 12 (Sat)   TBA       Away   Virginia                                      Charlottesville, VA                                     
Nov 19 (Sat)   TBA       Home   Duke                                          Pittsburgh, PA (Acrisure Stadium)                       
Nov 26 (Sat)   TBA       Away   Miami                                         Coral Gables, FL
